zipn,p,sp,carcost,carpark,carfeetotal,transitcost,rdcost,cartime,transittime,rdtime,walktime,biketime,purpose,car_av,transit_av,rd_av,walk_av,bike_av,choice,who,purpose_1,purpose_2,purpose_3,purpose_4,purpose_5,purpose_6,age,race,edu,work,zipcode,hhsize,child,hhincome,idincome,veh,bike,higheredu,employ,white,stu_dummy,mean_hhincome,veh_dummy,gender_F,gender_M,gender_O,originpurp,originpurpose_errand,originpurpose_home,originpurpose_school,originpurpose_shopping,originpurpose_social,originpurpose_work,meanincomehh,meanincomeindiv,carfeetotal_adj,transitcost_adj,rdcost_adj,popdensity,carfeetotal_adjindiv,transitcost_adjindiv,rdcost_adjindiv
40740,691,3,0.14,12,12.14,1.5,3.26,2,3,2,15,4,1,1,1,1,1,0,2,1389,1,0,0,0,0,0,48,1,4,2,40740,1,0,3,3,1,0,0,1,1,0,17500,1,1,0,0,2,0,1,0,0,0,0,17.5,17.5,0.693714286,0.085714286,0.186285714,204.0678383,0.693714286,0.085714286,0.186285714
40741,300,1,0.48,4,4.48,1.5,6.49,6,11,6,62,19,6,1,1,1,1,1,5,204,0,0,0,0,0,1,30,1,5,1,40741,4,1,7,7,4,1,1,1,1,0,62500,1,0,1,0,3,0,0,0,1,0,0,62.5,62.5,0.07168,0.024,0.10384,104.6380361,0.07168,0.024,0.10384
40741,300,3,0.35,0,0.35,3.5,7.47,5,9,6,54,14,6,1,1,1,1,1,2,204,0,0,0,0,0,1,30,1,5,1,40741,4,1,7,7,4,1,1,1,1,0,62500,1,0,1,0,3,0,0,0,1,0,0,62.5,62.5,0.0056,0.056,0.11952,104.6380361,0.0056,0.056,0.11952
40741,300,2,0.48,12,12.48,2.5,6.49,6,9,6,62,19,6,1,1,1,1,1,5,204,0,0,0,0,0,1,30,1,5,1,40741,4,1,7,7,4,1,1,1,1,0,62500,1,0,1,0,3,0,0,0,1,0,0,62.5,62.5,0.19968,0.04,0.10384,104.6380361,0.19968,0.04,0.10384
41008,749,2,1.27,4,5.27,2.5,13.61,15,29,20,143,36,5,1,1,1,1,1,1,1355,0,0,0,0,1,0,46,1,5,1,41008,3,1,7,7,2,1,1,1,1,0,62500,1,1,0,0,5,0,0,1,0,0,0,62.5,62.5,0.08432,0.04,0.21776,171.4686472,0.08432,0.04,0.21776
41008,749,1,0.94,8,8.94,2.5,15.66,15,21,17,164,49,5,1,1,1,1,1,1,1355,0,0,0,0,1,0,46,1,5,1,41008,3,1,7,7,2,1,1,1,1,0,62500,1,1,0,0,5,0,0,1,0,0,0,62.5,62.5,0.14304,0.04,0.25056,171.4686472,0.14304,0.04,0.25056
41008,749,3,1.27,0,1.27,2.5,13.61,15,25,17,143,49,5,1,1,1,1,1,1,1355,0,0,0,0,1,0,46,1,5,1,41008,3,1,7,7,2,1,1,1,1,0,62500,1,1,0,0,5,0,0,1,0,0,0,62.5,62.5,0.02032,0.04,0.21776,171.4686472,0.02032,0.04,0.21776
41018,273,1,0.59,8,8.59,1.5,6.94,6,10,8,59,15,3,1,1,1,1,1,2,1638,0,0,1,0,0,0,37,1,5,1,41018,4,2,7,6,4,1,1,1,1,0,62500,1,0,1,0,1,0,0,0,0,0,1,62.5,42.5,0.13744,0.024,0.11104,2395.951985,0.202117647,0.035294118,0.163294118
41018,273,3,0.5,4,4.5,1.5,5.9,7,9,6,68,18,3,1,1,1,1,1,1,1638,0,0,1,0,0,0,37,1,5,1,41018,4,2,7,6,4,1,1,1,1,0,62500,1,0,1,0,1,0,0,0,0,0,1,62.5,42.5,0.072,0.024,0.0944,2395.951985,0.105882353,0.035294118,0.138823529
41018,273,2,0.5,0,0.5,2.5,5.9,7,9,6,50,20,3,1,1,1,1,1,3,1638,0,0,1,0,0,0,37,1,5,1,41018,4,2,7,6,4,1,1,1,1,0,62500,1,0,1,0,1,0,0,0,0,0,1,62.5,42.5,0.008,0.04,0.0944,2395.951985,0.011764706,0.058823529,0.138823529
41042,667,1,0.19,0,0.19,2.5,4.5,2,3,3,25,5,1,1,1,1,1,1,5,1404,1,0,0,0,0,0,44,1,3,1,41042,6,4,8,8,3,1,0,1,1,0,72500,1,0,1,0,2,0,1,0,0,0,0,72.5,87.5,0.00262069,0.034482759,0.062068966,1743.779445,0.002171429,0.028571429,0.051428571
41042,667,3,0.19,8,8.19,1.5,4.5,3,4,2,25,7,1,1,1,1,1,1,5,1404,1,0,0,0,0,0,44,1,3,1,41042,6,4,8,8,3,1,0,1,1,0,72500,1,0,1,0,2,0,1,0,0,0,0,72.5,87.5,0.112965517,0.020689655,0.062068966,1743.779445,0.0936,0.017142857,0.051428571
41042,667,2,0.14,12,12.14,1.5,4.5,3,4,3,21,5,1,1,1,1,1,1,5,1404,1,0,0,0,0,0,44,1,3,1,41042,6,4,8,8,3,1,0,1,1,0,72500,1,0,1,0,2,0,1,0,0,0,0,72.5,87.5,0.167448276,0.020689655,0.062068966,1743.779445,0.138742857,0.017142857,0.051428571
41048,571,1,0.19,12,12.19,1.5,3.57,3,4,3,25,8,1,1,1,1,1,1,5,1446,1,0,0,0,0,0,23,1,3,1,41048,2,0,6,4,3,1,0,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,22.5,0.286823529,0.035294118,0.084,635.1640351,0.541777778,0.066666667,0.158666667
41048,571,2,0.21,12,12.21,2.5,4.84,3,4,3,21,6,1,1,1,1,1,1,5,1446,1,0,0,0,0,0,23,1,3,1,41048,2,0,6,4,3,1,0,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,22.5,0.287294118,0.058823529,0.113882353,635.1640351,0.542666667,0.111111111,0.215111111
41048,571,3,0.19,8,8.19,2.5,4.84,3,4,3,25,6,1,1,1,1,1,1,5,1446,1,0,0,0,0,0,23,1,3,1,41048,2,0,6,4,3,1,0,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,22.5,0.192705882,0.058823529,0.113882353,635.1640351,0.364,0.111111111,0.215111111
41094,137,2,0.88,12,12.88,2.5,8.53,12,17,12,113,34,5,1,1,1,1,1,1,1741,0,0,0,0,1,0,32,1,5,1,41094,4,2,9,9,2,1,1,1,1,0,125000,1,1,0,0,2,0,1,0,0,0,0,125,125,0.10304,0.02,0.06824,302.2461695,0.10304,0.02,0.06824
41094,137,3,1.2,8,9.2,1.5,8.53,12,15,10,83,25,5,1,1,1,1,1,1,1741,0,0,0,0,1,0,32,1,5,1,41094,4,2,9,9,2,1,1,1,1,0,125000,1,1,0,0,2,0,1,0,0,0,0,125,125,0.0736,0.012,0.06824,302.2461695,0.0736,0.012,0.06824
41094,137,1,1.2,0,1.2,2.5,11.53,12,20,10,113,34,5,1,1,1,1,1,1,1741,0,0,0,0,1,0,32,1,5,1,41094,4,2,9,9,2,1,1,1,1,0,125000,1,1,0,0,2,0,1,0,0,0,0,125,125,0.0096,0.02,0.09224,302.2461695,0.0096,0.02,0.09224
41537,660,3,2.09,8,10.09,1.5,16.95,25,33,19,212,47,6,1,1,1,1,1,1,49,0,0,0,0,0,1,34,1,3,1,41537,1,0,2,2,1,1,0,1,1,0,12500,1,0,1,0,2,0,1,0,0,0,0,12.5,12.5,0.8072,0.12,1.356,96.26616978,0.8072,0.12,1.356
41537,660,1,2.09,12,14.09,2.5,19.5,22,28,25,157,47,6,1,1,1,1,1,5,49,0,0,0,0,0,1,34,1,3,1,41537,1,0,2,2,1,1,0,1,1,0,12500,1,0,1,0,2,0,1,0,0,0,0,12.5,12.5,1.1272,0.2,1.56,96.26616978,1.1272,0.2,1.56
41537,660,2,2.4,8,10.4,2.5,19.5,19,33,25,212,64,6,1,1,1,1,1,1,49,0,0,0,0,0,1,34,1,3,1,41537,1,0,2,2,1,1,0,1,1,0,12500,1,0,1,0,2,0,1,0,0,0,0,12.5,12.5,0.832,0.2,1.56,96.26616978,0.832,0.2,1.56
42003,286,3,0.59,8,8.59,2.5,7.11,8,12,9,89,20,4,1,1,1,1,1,5,201,0,0,0,1,0,0,34,1,5,1,42003,3,1,2,1,2,1,1,1,1,0,12500,1,0,1,0,6,0,0,0,0,1,0,12.5,5,0.6872,0.2,0.5688,426.43087,1.718,0.5,1.422
42003,286,1,0.59,12,12.59,1.5,9.61,11,16,9,77,23,4,1,1,1,1,1,5,201,0,0,0,1,0,0,34,1,5,1,42003,3,1,2,1,2,1,1,1,1,0,12500,1,0,1,0,6,0,0,0,0,1,0,12.5,5,1.0072,0.12,0.7688,426.43087,2.518,0.3,1.922
42003,286,2,0.68,12,12.68,3.5,7.11,8,14,9,77,27,4,1,1,1,1,1,5,201,0,0,0,1,0,0,34,1,5,1,42003,3,1,2,1,2,1,1,1,1,0,12500,1,0,1,0,6,0,0,0,0,1,0,12.5,5,1.0144,0.28,0.5688,426.43087,2.536,0.7,1.422
42066,601,2,0.91,12,12.91,3.5,15.39,19,28,19,161,48,1,1,1,1,1,0,1,1435,1,0,0,0,0,0,29,1,5,1,42066,2,0,8,5,2,0,1,1,1,0,72500,1,0,1,0,2,0,1,0,0,0,0,72.5,30,0.178068966,0.048275862,0.212275862,106.9137431,0.430333333,0.116666667,0.513
42066,601,3,0.91,0,0.91,2.5,13.39,14,21,19,161,48,1,1,1,1,1,0,1,1435,1,0,0,0,0,0,29,1,5,1,42066,2,0,8,5,2,0,1,1,1,0,72500,1,0,1,0,2,0,1,0,0,0,0,72.5,30,0.012551724,0.034482759,0.184689655,106.9137431,0.030333333,0.083333333,0.446333333
42066,601,1,1.05,0,1.05,2.5,11.38,14,28,19,161,48,1,1,1,1,1,0,1,1435,1,0,0,0,0,0,29,1,5,1,42066,2,0,8,5,2,0,1,1,1,0,72500,1,0,1,0,2,0,1,0,0,0,0,72.5,30,0.014482759,0.034482759,0.156965517,106.9137431,0.035,0.083333333,0.379333333
42157,671,1,7.17,12,19.17,1.5,45.88,75,96,75,464,164,5,1,1,1,1,0,1,1398,0,0,0,0,1,0,60,1,5,2,42157,2,0,6,2,2,0,1,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,12.5,0.451058824,0.035294118,1.079529412,24.84931195,1.5336,0.12,3.6704
42157,671,3,7.17,12,19.17,2.5,45.88,75,82,75,464,164,5,1,1,1,1,0,1,1398,0,0,0,0,1,0,60,1,5,2,42157,2,0,6,2,2,0,1,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,12.5,0.451058824,0.058823529,1.079529412,24.84931195,1.5336,0.2,3.6704
42157,671,2,7.17,12,19.17,3.5,52.77,56,96,56,628,188,5,1,1,1,1,0,1,1398,0,0,0,0,1,0,60,1,5,2,42157,2,0,6,2,2,0,1,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,12.5,0.451058824,0.082352941,1.241647059,24.84931195,1.5336,0.28,4.2216
42376,279,1,0.51,0,0.51,2.5,8.36,8,12,9,65,23,3,1,1,1,1,1,5,1655,0,0,1,0,0,0,33,1,4,1,42376,3,1,8,5,2,1,0,1,1,0,72500,1,1,0,0,2,0,1,0,0,0,0,72.5,30,0.007034483,0.034482759,0.115310345,57.99927988,0.017,0.083333333,0.278666667
42376,279,3,0.68,4,4.68,3.5,7.11,11,12,9,89,27,3,1,1,1,1,1,5,1655,0,0,1,0,0,0,33,1,4,1,42376,3,1,8,5,2,1,0,1,1,0,72500,1,1,0,0,2,0,1,0,0,0,0,72.5,30,0.064551724,0.048275862,0.098068966,57.99927988,0.156,0.116666667,0.237
42376,279,2,0.59,0,0.59,3.5,9.61,9,16,9,89,27,3,1,1,1,1,1,5,1655,0,0,1,0,0,0,33,1,4,1,42376,3,1,8,5,2,1,0,1,1,0,72500,1,1,0,0,2,0,1,0,0,0,0,72.5,30,0.008137931,0.048275862,0.132551724,57.99927988,0.019666667,0.116666667,0.320333333
42701,729,2,0.39,8,8.39,1.5,6.94,8,9,8,50,18,3,1,1,1,1,1,2,1367,0,0,1,0,0,0,42,6,5,2,42701,4,1,8,5,3,1,1,1,0,0,72500,1,1,0,0,2,0,1,0,0,0,0,72.5,30,0.115724138,0.020689655,0.095724138,303.8005005,0.279666667,0.05,0.231333333
